#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2016;09;30;20;00;MM;MM;MM;MM;MM;MM;MM;1010.9;14.8;MM;9.4;MM;MM;MM;
2016;09;30;19;00;MM;MM;MM;MM;MM;MM;MM;1011.0;15.0;MM;9.2;MM;MM;MM;
2016;09;30;18;00;MM;MM;MM;MM;MM;MM;MM;1011.0;15.0;MM;9.4;MM;MM;MM;
2016;09;30;17;00;MM;MM;MM;MM;MM;MM;MM;1011.2;15.3;MM;10.1;MM;MM;MM;
2016;09;30;16;00;MM;MM;MM;MM;MM;MM;MM;1011.5;15.4;MM;9.9;MM;MM;MM;
2016;09;30;15;00;MM;MM;MM;MM;MM;MM;MM;1012.0;15.3;MM;9.8;MM;MM;MM;
2016;09;30;14;00;MM;MM;MM;MM;MM;MM;MM;1012.6;15.3;MM;11.0;MM;MM;MM;
2016;09;30;13;00;MM;MM;MM;MM;MM;MM;MM;1013.1;15.2;MM;10.8;MM;MM;MM;
2016;09;30;12;00;MM;MM;MM;MM;MM;MM;MM;1013.6;15.1;MM;10.8;MM;MM;MM;
2016;09;30;11;00;MM;MM;MM;MM;MM;MM;MM;1013.8;15.0;MM;10.6;MM;MM;MM;
2016;09;30;10;00;MM;MM;MM;MM;MM;MM;MM;1013.9;15.0;MM;10.6;MM;MM;MM;
2016;09;30;09;00;MM;MM;MM;MM;MM;MM;MM;1013.9;14.9;MM;10.8;MM;MM;MM;
2016;09;30;08;00;MM;MM;MM;MM;MM;MM;MM;1013.7;14.4;MM;10.3;MM;MM;MM;
2016;09;30;04;00;MM;MM;MM;MM;MM;MM;MM;1013.7;15.0;MM;10.3;MM;MM;MM;
2016;09;30;03;00;MM;MM;MM;MM;MM;MM;MM;1014.1;15.0;MM;10.3;MM;MM;MM;
2016;09;30;02;00;MM;MM;MM;MM;MM;MM;MM;1014.8;15.0;MM;10.8;MM;MM;MM;
2016;09;30;01;00;MM;MM;MM;MM;MM;MM;MM;1015.7;15.0;MM;10.4;MM;MM;MM;
2016;09;30;00;00;MM;MM;MM;MM;MM;MM;MM;1015.9;15.0;MM;11.1;MM;MM;MM;
2016;09;29;23;00;MM;MM;MM;MM;MM;MM;MM;1016.7;15.0;MM;10.9;MM;MM;MM;
2016;09;29;22;00;MM;MM;MM;MM;MM;MM;MM;1016.8;15.0;MM;10.9;MM;MM;MM;
2016;09;29;21;00;MM;MM;MM;MM;MM;MM;MM;1017.2;15.1;MM;10.7;MM;MM;MM;
