#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2016;10;22;12;00;MM;MM;MM;MM;MM;MM;MM;1015.4;11.5;MM;6.7;MM;MM;MM;
2016;10;22;11;00;MM;MM;MM;MM;MM;MM;MM;1015.6;11.4;MM;6.6;MM;MM;MM;
2016;10;22;10;00;MM;MM;MM;MM;MM;MM;MM;1015.8;11.2;MM;6.9;MM;MM;MM;
2016;10;22;09;00;MM;MM;MM;MM;MM;MM;MM;1015.9;10.5;MM;6.6;MM;MM;MM;
2016;10;22;02;00;MM;MM;MM;MM;MM;MM;MM;1018.0;8.0;MM;6.1;MM;MM;MM;
2016;10;22;01;00;MM;MM;MM;MM;MM;MM;MM;1018.3;8.2;MM;6.4;MM;MM;MM;
2016;10;22;00;00;MM;MM;MM;MM;MM;MM;MM;1018.8;8.4;MM;5.7;MM;MM;MM;
2016;10;21;23;00;MM;MM;MM;MM;MM;MM;MM;1019.0;9.0;MM;7.3;MM;MM;MM;
2016;10;21;22;00;MM;MM;MM;MM;MM;MM;MM;1019.4;9.4;MM;7.6;MM;MM;MM;
2016;10;21;21;00;MM;MM;MM;MM;MM;MM;MM;1019.5;10.0;MM;7.5;MM;MM;MM;
2016;10;21;20;00;MM;MM;MM;MM;MM;MM;MM;1019.7;10.5;MM;7.4;MM;MM;MM;
2016;10;21;19;00;MM;MM;MM;MM;MM;MM;MM;1020.0;11.0;MM;8.1;MM;MM;MM;
2016;10;21;17;00;MM;MM;MM;MM;MM;MM;MM;1020.0;12.8;MM;7.7;MM;MM;MM;
2016;10;21;16;00;MM;MM;MM;MM;MM;MM;MM;1020.2;13.0;MM;7.8;MM;MM;MM;
2016;10;21;15;00;MM;MM;MM;MM;MM;MM;MM;1020.2;13.0;MM;8.1;MM;MM;MM;
2016;10;21;14;00;MM;MM;MM;MM;MM;MM;MM;1020.6;13.1;MM;8.0;MM;MM;MM;
2016;10;21;13;00;MM;MM;MM;MM;MM;MM;MM;1021.0;13.4;MM;6.1;MM;MM;MM;
