#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2016;07;31;20;00;MM;MM;MM;MM;MM;MM;MM;1021.4;16.7;MM;12.0;MM;MM;MM;
2016;07;31;19;00;MM;MM;MM;MM;MM;MM;MM;1021.2;17.1;MM;10.7;MM;MM;MM;
2016;07;31;18;00;MM;MM;MM;MM;MM;MM;MM;1020.6;17.3;MM;10.4;MM;MM;MM;
2016;07;31;17;00;MM;MM;MM;MM;MM;MM;MM;1020.7;17.3;MM;10.7;MM;MM;MM;
2016;07;31;16;00;MM;MM;MM;MM;MM;MM;MM;1020.5;17.3;MM;11.3;MM;MM;MM;
2016;07;31;15;00;MM;MM;MM;MM;MM;MM;MM;1020.5;17.2;MM;11.9;MM;MM;MM;
2016;07;31;14;00;MM;MM;MM;MM;MM;MM;MM;1020.2;17.3;MM;12.0;MM;MM;MM;
2016;07;31;13;00;MM;MM;MM;MM;MM;MM;MM;1020.1;17.2;MM;12.4;MM;MM;MM;
2016;07;31;12;00;MM;MM;MM;MM;MM;MM;MM;1020.0;17.0;MM;12.8;MM;MM;MM;
2016;07;31;11;00;MM;MM;MM;MM;MM;MM;MM;1019.9;16.6;MM;13.7;MM;MM;MM;
2016;07;31;10;00;MM;MM;MM;MM;MM;MM;MM;1019.8;16.1;MM;13.6;MM;MM;MM;
2016;07;31;09;00;MM;MM;MM;MM;MM;MM;MM;1019.6;15.8;MM;13.5;MM;MM;MM;
2016;07;31;08;00;MM;MM;MM;MM;MM;MM;MM;1019.2;15.3;MM;12.9;MM;MM;MM;
2016;07;31;07;00;MM;MM;MM;MM;MM;MM;MM;1018.9;15.2;MM;12.9;MM;MM;MM;
2016;07;31;06;00;MM;MM;MM;MM;MM;MM;MM;1018.3;14.9;MM;12.6;MM;MM;MM;
2016;07;31;05;00;MM;MM;MM;MM;MM;MM;MM;1017.6;14.7;MM;12.7;MM;MM;MM;
2016;07;31;04;00;MM;MM;MM;MM;MM;MM;MM;1017.5;14.8;MM;12.7;MM;MM;MM;
2016;07;31;03;00;MM;MM;MM;MM;MM;MM;MM;1017.3;15.2;MM;12.9;MM;MM;MM;
2016;07;31;02;00;MM;MM;MM;MM;MM;MM;MM;1017.1;15.4;MM;13.0;MM;MM;MM;
2016;07;31;01;00;MM;MM;MM;MM;MM;MM;MM;1017.3;15.5;MM;12.7;MM;MM;MM;
2016;07;31;00;00;MM;MM;MM;MM;MM;MM;MM;1017.7;15.6;MM;12.8;MM;MM;MM;
2016;07;30;23;00;MM;MM;MM;MM;MM;MM;MM;1017.2;15.9;MM;12.9;MM;MM;MM;
2016;07;30;22;00;MM;MM;MM;MM;MM;MM;MM;1017.1;16.2;MM;12.7;MM;MM;MM;
2016;07;30;21;00;MM;MM;MM;MM;MM;MM;MM;1016.9;16.6;MM;13.2;MM;MM;MM;
