#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2016;06;30;20;00;MM;MM;MM;MM;MM;MM;MM;1011.0;14.6;MM;13.6;MM;MM;MM;
2016;06;30;19;00;MM;MM;MM;MM;MM;MM;MM;1011.1;14.7;MM;13.5;MM;MM;MM;
2016;06;30;18;00;MM;MM;MM;MM;MM;MM;MM;1011.1;14.7;MM;13.7;MM;MM;MM;
2016;06;30;17;00;MM;MM;MM;MM;MM;MM;MM;1010.8;14.7;MM;13.6;MM;MM;MM;
2016;06;30;16;00;MM;MM;MM;MM;MM;MM;MM;1010.9;14.4;MM;13.8;MM;MM;MM;
2016;06;30;15;00;MM;MM;MM;MM;MM;MM;MM;1011.2;14.2;MM;13.5;MM;MM;MM;
2016;06;30;14;00;MM;MM;MM;MM;MM;MM;MM;1011.3;14.6;MM;13.5;MM;MM;MM;
2016;06;30;13;00;MM;MM;MM;MM;MM;MM;MM;1011.5;14.4;MM;13.2;MM;MM;MM;
2016;06;30;12;00;MM;MM;MM;MM;MM;MM;MM;1011.3;14.2;MM;13.0;MM;MM;MM;
2016;06;30;11;00;MM;MM;MM;MM;MM;MM;MM;1011.2;13.8;MM;13.3;MM;MM;MM;
