#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2016;05;31;20;00;MM;MM;MM;MM;MM;MM;MM;1021.7;15.9;MM;10.6;MM;MM;MM;
2016;05;31;19;00;MM;MM;MM;MM;MM;MM;MM;1021.5;15.5;MM;10.4;MM;MM;MM;
2016;05;31;18;00;MM;MM;MM;MM;MM;MM;MM;1021.2;15.5;MM;10.5;MM;MM;MM;
2016;05;31;17;00;MM;MM;MM;MM;MM;MM;MM;1020.3;15.5;MM;10.6;MM;MM;MM;
2016;05;31;16;00;MM;MM;MM;MM;MM;MM;MM;1020.2;16.2;MM;10.6;MM;MM;MM;
2016;05;31;15;00;MM;MM;MM;MM;MM;MM;MM;1019.8;16.6;MM;10.0;MM;MM;MM;
2016;05;31;14;00;MM;MM;MM;MM;MM;MM;MM;1020.1;16.5;MM;10.7;MM;MM;MM;
2016;05;31;13;00;MM;MM;MM;MM;MM;MM;MM;1020.1;16.4;MM;10.5;MM;MM;MM;
2016;05;31;12;00;MM;MM;MM;MM;MM;MM;MM;1020.2;16.1;MM;10.6;MM;MM;MM;
2016;05;31;11;00;MM;MM;MM;MM;MM;MM;MM;1020.5;15.7;MM;10.4;MM;MM;MM;
2016;05;31;10;00;MM;MM;MM;MM;MM;MM;MM;1020.6;15.8;MM;9.6;MM;MM;MM;
2016;05;31;09;00;MM;MM;MM;MM;MM;MM;MM;1020.7;15.2;MM;9.4;MM;MM;MM;
2016;05;31;08;00;MM;MM;MM;MM;MM;MM;MM;1020.7;14.3;MM;10.1;MM;MM;MM;
2016;05;31;07;00;MM;MM;MM;MM;MM;MM;MM;1021.1;13.4;MM;10.2;MM;MM;MM;
2016;05;31;06;00;MM;MM;MM;MM;MM;MM;MM;1020.9;13.1;MM;10.4;MM;MM;MM;
2016;05;31;05;00;MM;MM;MM;MM;MM;MM;MM;1020.5;12.9;MM;10.4;MM;MM;MM;
2016;05;31;04;00;MM;MM;MM;MM;MM;MM;MM;1020.0;13.0;MM;10.7;MM;MM;MM;
2016;05;31;03;00;MM;MM;MM;MM;MM;MM;MM;1019.9;13.0;MM;10.7;MM;MM;MM;
2016;05;31;02;00;MM;MM;MM;MM;MM;MM;MM;1020.0;13.4;MM;10.9;MM;MM;MM;
2016;05;31;01;00;MM;MM;MM;MM;MM;MM;MM;1019.8;13.7;MM;11.0;MM;MM;MM;
2016;05;31;00;00;MM;MM;MM;MM;MM;MM;MM;1019.8;13.9;MM;11.0;MM;MM;MM;
2016;05;30;23;00;MM;MM;MM;MM;MM;MM;MM;1019.8;14.4;MM;11.2;MM;MM;MM;
2016;05;30;22;00;MM;MM;MM;MM;MM;MM;MM;1020.0;14.8;MM;11.5;MM;MM;MM;
2016;05;30;21;00;MM;MM;MM;MM;MM;MM;MM;1019.6;15.5;MM;11.7;MM;MM;MM;
