#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2016;08;31;20;00;MM;MM;MM;MM;MM;MM;MM;1023.7;16.9;MM;13.3;MM;MM;MM;
2016;08;31;19;00;MM;MM;MM;MM;MM;MM;MM;1022.9;17.3;MM;13.1;MM;MM;MM;
2016;08;31;18;00;MM;MM;MM;MM;MM;MM;MM;1022.3;17.7;MM;13.1;MM;MM;MM;
2016;08;31;17;00;MM;MM;MM;MM;MM;MM;MM;1022.1;17.9;MM;13.5;MM;MM;MM;
2016;08;31;16;00;MM;MM;MM;MM;MM;MM;MM;1022.0;17.9;MM;13.5;MM;MM;MM;
2016;08;31;15;00;MM;MM;MM;MM;MM;MM;MM;1021.9;17.5;MM;14.3;MM;MM;MM;
2016;08;31;14;00;MM;MM;MM;MM;MM;MM;MM;1022.0;17.3;MM;15.6;MM;MM;MM;
2016;08;31;13;00;MM;MM;MM;MM;MM;MM;MM;1022.1;16.5;MM;15.3;MM;MM;MM;
2016;08;31;12;00;MM;MM;MM;MM;MM;MM;MM;1022.1;16.7;MM;15.9;MM;MM;MM;
2016;08;31;11;00;MM;MM;MM;MM;MM;MM;MM;1021.9;16.9;MM;16.1;MM;MM;MM;
2016;08;31;10;00;MM;MM;MM;MM;MM;MM;MM;1021.8;17.5;MM;16.0;MM;MM;MM;
2016;08;31;09;00;MM;MM;MM;MM;MM;MM;MM;1021.4;17.4;MM;15.8;MM;MM;MM;
2016;08;31;08;00;MM;MM;MM;MM;MM;MM;MM;1021.2;17.3;MM;15.8;MM;MM;MM;
2016;08;31;07;00;MM;MM;MM;MM;MM;MM;MM;1020.7;17.2;MM;15.9;MM;MM;MM;
2016;08;31;06;00;MM;MM;MM;MM;MM;MM;MM;1020.6;17.2;MM;15.6;MM;MM;MM;
2016;08;31;05;00;MM;MM;MM;MM;MM;MM;MM;1020.4;17.1;MM;15.7;MM;MM;MM;
2016;08;31;04;00;MM;MM;MM;MM;MM;MM;MM;1020.3;17.1;MM;15.7;MM;MM;MM;
2016;08;31;03;00;MM;MM;MM;MM;MM;MM;MM;1020.9;17.1;MM;15.5;MM;MM;MM;
2016;08;31;02;00;MM;MM;MM;MM;MM;MM;MM;1021.2;17.1;MM;15.3;MM;MM;MM;
2016;08;31;01;00;MM;MM;MM;MM;MM;MM;MM;1021.6;17.2;MM;15.2;MM;MM;MM;
2016;08;31;00;00;MM;MM;MM;MM;MM;MM;MM;1022.1;17.2;MM;15.1;MM;MM;MM;
2016;08;30;23;00;MM;MM;MM;MM;MM;MM;MM;1022.4;17.1;MM;14.6;MM;MM;MM;
2016;08;30;22;00;MM;MM;MM;MM;MM;MM;MM;1022.6;16.9;MM;14.2;MM;MM;MM;
2016;08;30;21;00;MM;MM;MM;MM;MM;MM;MM;1022.9;17.0;MM;14.2;MM;MM;MM;
