#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2017;05;31;20;00;MM;MM;MM;MM;MM;MM;MM;1022.3;13.7;MM;12.8;MM;MM;MM;
2017;05;31;19;00;MM;MM;MM;MM;MM;MM;MM;1022.2;13.5;MM;12.8;MM;MM;MM;
2017;05;31;18;00;MM;MM;MM;MM;MM;MM;MM;1022.2;13.3;MM;12.6;MM;MM;MM;
2017;05;31;17;00;MM;MM;MM;MM;MM;MM;MM;1022.2;13.5;MM;12.6;MM;MM;MM;
2017;05;31;16;00;MM;MM;MM;MM;MM;MM;MM;1022.6;13.9;MM;12.5;MM;MM;MM;
2017;05;31;15;00;MM;MM;MM;MM;MM;MM;MM;1023.0;14.4;MM;12.7;MM;MM;MM;
2017;05;31;14;00;MM;MM;MM;MM;MM;MM;MM;1023.0;14.1;MM;12.7;MM;MM;MM;
2017;05;31;13;00;MM;MM;MM;MM;MM;MM;MM;1023.0;14.6;MM;13.0;MM;MM;MM;
2017;05;31;12;00;MM;MM;MM;MM;MM;MM;MM;1022.9;14.3;MM;13.3;MM;MM;MM;
2017;05;31;11;00;MM;MM;MM;MM;MM;MM;MM;1022.7;14.0;MM;13.2;MM;MM;MM;
2017;05;31;10;00;MM;MM;MM;MM;MM;MM;MM;1022.5;13.9;MM;13.3;MM;MM;MM;
2017;05;31;09;00;MM;MM;MM;MM;MM;MM;MM;1022.4;13.9;MM;13.4;MM;MM;MM;
2017;05;31;08;00;MM;MM;MM;MM;MM;MM;MM;1022.5;13.8;MM;13.3;MM;MM;MM;
2017;05;31;07;00;MM;MM;MM;MM;MM;MM;MM;1022.2;13.9;MM;13.2;MM;MM;MM;
2017;05;31;06;00;MM;MM;MM;MM;MM;MM;MM;1022.0;13.8;MM;13.0;MM;MM;MM;
2017;05;31;05;00;MM;MM;MM;MM;MM;MM;MM;1021.9;13.9;MM;12.9;MM;MM;MM;
2017;05;31;04;00;MM;MM;MM;MM;MM;MM;MM;1021.4;14.1;MM;13.0;MM;MM;MM;
2017;05;31;03;00;MM;MM;MM;MM;MM;MM;MM;1021.3;14.2;MM;12.8;MM;MM;MM;
2017;05;31;02;00;MM;MM;MM;MM;MM;MM;MM;1021.5;14.4;MM;12.7;MM;MM;MM;
2017;05;31;01;00;MM;MM;MM;MM;MM;MM;MM;1021.5;14.4;MM;12.8;MM;MM;MM;
2017;05;31;00;00;MM;MM;MM;MM;MM;MM;MM;1021.3;14.3;MM;13.2;MM;MM;MM;
2017;05;30;23;00;MM;MM;MM;MM;MM;MM;MM;1020.9;14.4;MM;13.2;MM;MM;MM;
2017;05;30;22;00;MM;MM;MM;MM;MM;MM;MM;1020.8;14.3;MM;13.1;MM;MM;MM;
2017;05;30;21;00;MM;MM;MM;MM;MM;MM;MM;1020.3;14.3;MM;13.0;MM;MM;MM;
