#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2017;09;30;20;00;MM;MM;MM;MM;MM;MM;MM;1010.9;15.0;MM;14.4;MM;MM;MM;
2017;09;30;19;00;MM;MM;MM;MM;MM;MM;MM;1011.1;14.8;MM;14.2;MM;MM;MM;
2017;09;30;18;00;MM;MM;MM;MM;MM;MM;MM;1011.4;14.7;MM;14.1;MM;MM;MM;
2017;09;30;17;00;MM;MM;MM;MM;MM;MM;MM;1011.9;14.3;MM;13.7;MM;MM;MM;
2017;09;30;16;00;MM;MM;MM;MM;MM;MM;MM;1012.6;14.3;MM;13.3;MM;MM;MM;
2017;09;30;15;00;MM;MM;MM;MM;MM;MM;MM;1013.8;14.6;MM;12.9;MM;MM;MM;
