#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2017;10;30;16;00;MM;MM;MM;MM;MM;MM;MM;1030.7;11.0;MM;4.8;MM;MM;MM;
2017;10;30;15;00;MM;MM;MM;MM;MM;MM;MM;1030.7;11.4;MM;4.7;MM;MM;MM;
2017;10;30;14;00;MM;MM;MM;MM;MM;MM;MM;1030.7;11.4;MM;4.9;MM;MM;MM;
2017;10;30;13;00;MM;MM;MM;MM;MM;MM;MM;1031.1;11.2;MM;4.6;MM;MM;MM;
2017;10;30;12;00;MM;MM;MM;MM;MM;MM;MM;1031.5;10.7;MM;5.3;MM;MM;MM;
2017;10;30;11;00;MM;MM;MM;MM;MM;MM;MM;1031.8;10.2;MM;5.9;MM;MM;MM;
