#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2017;11;06;11;00;MM;MM;MM;MM;MM;MM;MM;1026.1;9.2;MM;6.7;MM;MM;MM;
2017;11;06;10;00;MM;MM;MM;MM;MM;MM;MM;1026.4;7.3;MM;4.6;MM;MM;MM;
2017;11;06;09;00;MM;MM;MM;MM;MM;MM;MM;1026.6;5.7;MM;4.8;MM;MM;MM;
2017;11;06;08;00;MM;MM;MM;MM;MM;MM;MM;1026.6;4.7;MM;3.8;MM;MM;MM;
2017;11;05;14;00;MM;MM;MM;MM;MM;MM;MM;1019.5;10.9;MM;3.7;MM;MM;MM;
2017;11;05;13;00;MM;MM;MM;MM;MM;MM;MM;1019.0;11.3;MM;3.3;MM;MM;MM;
2017;11;05;12;00;MM;MM;MM;MM;MM;MM;MM;1018.5;10.9;MM;3.6;MM;MM;MM;
