#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2017;06;30;20;00;MM;MM;MM;MM;MM;MM;MM;1013.5;14.0;MM;11.3;MM;MM;MM;
2017;06;30;19;00;MM;MM;MM;MM;MM;MM;MM;1012.8;13.9;MM;11.4;MM;MM;MM;
2017;06;30;18;00;MM;MM;MM;MM;MM;MM;MM;1012.1;14.0;MM;11.4;MM;MM;MM;
2017;06;30;17;00;MM;MM;MM;MM;MM;MM;MM;1011.4;13.8;MM;11.4;MM;MM;MM;
2017;06;30;16;00;MM;MM;MM;MM;MM;MM;MM;1010.7;13.6;MM;11.5;MM;MM;MM;
2017;06;30;15;00;MM;MM;MM;MM;MM;MM;MM;1009.8;13.6;MM;11.3;MM;MM;MM;
2017;06;30;14;00;MM;MM;MM;MM;MM;MM;MM;1009.0;14.0;MM;11.2;MM;MM;MM;
2017;06;30;13;00;MM;MM;MM;MM;MM;MM;MM;1008.4;13.8;MM;11.2;MM;MM;MM;
2017;06;30;12;00;MM;MM;MM;MM;MM;MM;MM;1007.4;13.6;MM;11.1;MM;MM;MM;
2017;06;30;11;00;MM;MM;MM;MM;MM;MM;MM;1006.7;13.5;MM;11.0;MM;MM;MM;
2017;06;30;10;00;MM;MM;MM;MM;MM;MM;MM;1006.1;13.1;MM;10.7;MM;MM;MM;
2017;06;30;09;00;MM;MM;MM;MM;MM;MM;MM;1005.6;12.9;MM;10.6;MM;MM;MM;
2017;06;30;08;00;MM;MM;MM;MM;MM;MM;MM;1005.1;12.8;MM;10.5;MM;MM;MM;
2017;06;30;06;00;MM;MM;MM;MM;MM;MM;MM;1003.9;12.8;MM;10.3;MM;MM;MM;
2017;06;30;05;00;MM;MM;MM;MM;MM;MM;MM;1003.4;12.8;MM;10.3;MM;MM;MM;
2017;06;30;04;00;MM;MM;MM;MM;MM;MM;MM;1003.1;12.7;MM;10.2;MM;MM;MM;
2017;06;30;03;00;MM;MM;MM;MM;MM;MM;MM;1002.7;12.8;MM;10.8;MM;MM;MM;
2017;06;30;02;00;MM;MM;MM;MM;MM;MM;MM;1002.6;13.0;MM;10.4;MM;MM;MM;
2017;06;30;01;00;MM;MM;MM;MM;MM;MM;MM;1002.5;13.1;MM;10.8;MM;MM;MM;
2017;06;30;00;00;MM;MM;MM;MM;MM;MM;MM;1001.9;13.1;MM;10.7;MM;MM;MM;
2017;06;29;23;00;MM;MM;MM;MM;MM;MM;MM;1001.8;13.3;MM;10.8;MM;MM;MM;
2017;06;29;22;00;MM;MM;MM;MM;MM;MM;MM;1001.4;13.3;MM;10.7;MM;MM;MM;
2017;06;29;21;00;MM;MM;MM;MM;MM;MM;MM;1000.9;13.1;MM;10.9;MM;MM;MM;
