#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2017;07;31;05;00;MM;MM;MM;MM;MM;MM;MM;1010.3;15.4;MM;12.2;MM;MM;MM;
2017;07;31;04;00;MM;MM;MM;MM;MM;MM;MM;1009.9;15.2;MM;12.5;MM;MM;MM;
2017;07;31;03;00;MM;MM;MM;MM;MM;MM;MM;1009.9;15.2;MM;12.6;MM;MM;MM;
2017;07;31;02;00;MM;MM;MM;MM;MM;MM;MM;1009.7;15.4;MM;12.6;MM;MM;MM;
2017;07;31;01;00;MM;MM;MM;MM;MM;MM;MM;1009.7;15.5;MM;12.7;MM;MM;MM;
2017;07;31;00;00;MM;MM;MM;MM;MM;MM;MM;1009.6;15.5;MM;12.8;MM;MM;MM;
2017;07;30;23;00;MM;MM;MM;MM;MM;MM;MM;1009.5;15.5;MM;12.7;MM;MM;MM;
2017;07;30;22;00;MM;MM;MM;MM;MM;MM;MM;1009.3;15.7;MM;13.1;MM;MM;MM;
2017;07;30;21;00;MM;MM;MM;MM;MM;MM;MM;1009.0;15.7;MM;13.0;MM;MM;MM;
2017;07;30;20;00;MM;MM;MM;MM;MM;MM;MM;1008.6;15.5;MM;13.2;MM;MM;MM;
2017;07;30;19;00;MM;MM;MM;MM;MM;MM;MM;1008.1;16.1;MM;13.2;MM;MM;MM;
2017;07;30;18;00;MM;MM;MM;MM;MM;MM;MM;1008.1;16.0;MM;13.2;MM;MM;MM;
2017;07;30;17;00;MM;MM;MM;MM;MM;MM;MM;1007.9;15.8;MM;12.8;MM;MM;MM;
2017;07;30;16;00;MM;MM;MM;MM;MM;MM;MM;1008.2;16.0;MM;12.9;MM;MM;MM;
2017;07;30;15;00;MM;MM;MM;MM;MM;MM;MM;1008.2;15.5;MM;12.3;MM;MM;MM;
