Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-16 13:50 (UTC),Terr-AIS,0,,-3.962387,48.72058,,,135
2018-02-16 14:05 (UTC),Terr-AIS,1.3,,-3.962438,48.72019,,,169
2018-02-16 14:08 (UTC),Terr-AIS,3.7,,-3.959622,48.71951,,,79
2018-02-16 14:10 (UTC),Terr-AIS,6.5,,-3.9564,48.72214,,,22
2018-02-16 14:13 (UTC),Terr-AIS,9.7,,-3.952932,48.72746,,,23
2018-02-16 14:15 (UTC),Terr-AIS,11.2,,-3.949542,48.73425,-3.95,48.719167,13
2018-02-16 14:19 (UTC),Terr-AIS,15.4,,-3.945598,48.74887,,,5
2018-02-16 14:21 (UTC),Terr-AIS,12.9,,-3.944365,48.75686,,,359
2018-02-16 14:23 (UTC),Terr-AIS,14.8,,-3.945395,48.76644,,,354
2018-02-16 14:27 (UTC),Terr-AIS,15.6,,-3.947027,48.78044,,,355
2018-02-16 14:29 (UTC),Terr-AIS,15.4,,-3.948235,48.79116,,,353
2018-02-16 14:31 (UTC),Terr-AIS,15.5,,-3.949385,48.80063,-3.935833,48.785833,353
2018-02-16 14:34 (UTC),Terr-AIS,15.6,,-3.951247,48.81488,,,353
2018-02-16 14:37 (UTC),Terr-AIS,15.3,,-3.951935,48.82478,,,353
2018-02-16 14:39 (UTC),Terr-AIS,15.5,,-3.952723,48.83427,,,355
2018-02-16 14:41 (UTC),Terr-AIS,15.7,,-3.953368,48.84383,,,356
2018-02-16 14:44 (UTC),Terr-AIS,15.5,,-3.95455,48.85816,,,355
2018-02-16 14:47 (UTC),Terr-AIS,15.5,,-3.955337,48.86767,,,357
2018-02-16 14:49 (UTC),Terr-AIS,15.7,,-3.9562,48.87772,,,355
2018-02-16 14:51 (UTC),Terr-AIS,15.8,,-3.957132,48.88766,,,357
2018-02-16 14:55 (UTC),Terr-AIS,15.5,,-3.958482,48.90211,,,356
2018-02-16 14:57 (UTC),Terr-AIS,15.6,,-3.959527,48.91208,,,355
2018-02-16 14:59 (UTC),Terr-AIS,15.6,,-3.95819,48.89865,,,355
2018-02-16 15:02 (UTC),Terr-AIS,15.6,,-3.95819,48.89865,,,355
2018-02-16 15:04 (UTC),Terr-AIS,15.6,,-3.95819,48.89865,,,355
2018-02-16 15:06 (UTC),Terr-AIS,15.6,,-3.95819,48.89865,,,355
2018-02-16 15:08 (UTC),Terr-AIS,15.6,,-3.95819,48.89865,,,355
2018-02-16 15:17 (UTC),Terr-AIS,15.8,,-3.967505,48.99941,,,356
2018-02-16 15:19 (UTC),Terr-AIS,15.6,,-3.968433,49.00983,,,357
2018-02-16 15:22 (UTC),Terr-AIS,15.6,,-3.96938,49.01934,,,356
2018-02-16 15:24 (UTC),Terr-AIS,15.7,,-3.970188,49.02894,,,356
2018-02-16 15:26 (UTC),Terr-AIS,15.8,,-3.971052,49.03947,,,357
2018-02-16 15:30 (UTC),Terr-AIS,15.7,,-3.97236,49.05424,-3.9675,49.06,356
2018-02-16 15:32 (UTC),Terr-AIS,15.8,,-3.973228,49.06396,,,356
2018-02-16 15:34 (UTC),Terr-AIS,15.8,,-3.974005,49.07367,,,357
2018-02-16 15:36 (UTC),Terr-AIS,15.8,,-3.974947,49.08421,,,357
2018-02-16 15:39 (UTC),Terr-AIS,15.7,,-3.975732,49.0943,,,354
2018-02-16 15:41 (UTC),Terr-AIS,15.8,,-3.976363,49.10396,,,358
2018-02-16 15:43 (UTC),Terr-AIS,15.8,,-3.977193,49.11343,,,356
2018-02-16 15:46 (UTC),Terr-AIS,15.6,,-3.978412,49.12797,,,356
2018-02-16 15:49 (UTC),Terr-AIS,15.9,,-3.979258,49.13768,,,356
2018-02-16 15:51 (UTC),Terr-AIS,15.7,,-3.979998,49.14779,,,356
2018-02-16 15:53 (UTC),Terr-AIS,15.7,,-3.980732,49.15742,,,358
2018-02-16 15:56 (UTC),Terr-AIS,15.7,,-3.982,49.17232,,,355
2018-02-16 15:59 (UTC),Terr-AIS,15.7,,-3.982733,49.1824,,,358
2018-02-16 16:01 (UTC),Terr-AIS,15.9,,-3.983655,49.19255,,,357
2018-02-16 16:04 (UTC),Terr-AIS,15.9,,-3.98453,49.2036,,,357
2018-02-16 16:06 (UTC),Terr-AIS,16,,-3.985312,49.21427,,,358
2018-02-16 16:08 (UTC),Terr-AIS,15.9,,-3.986075,49.22495,,,358
2018-02-16 16:11 (UTC),Terr-AIS,16.1,,-3.986818,49.2352,,,357
2018-02-16 16:13 (UTC),Terr-AIS,15.7,,-3.987453,49.24483,,,355
2018-02-16 16:15 (UTC),Terr-AIS,14.3,,-3.988157,49.25414,,,354
2018-02-16 16:18 (UTC),Terr-AIS,15.6,,-3.98898,49.2677,,,359
2018-02-16 16:21 (UTC),Terr-AIS,15,,-3.989042,49.27729,,,357
2018-02-16 16:23 (UTC),Terr-AIS,15.7,,-3.989385,49.28783,,,358
