Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2017-10-18 15:54 (UTC),Terr-AIS,16.6,,-3.89855003,49.6188507,,,359
2017-10-18 15:56 (UTC),Terr-AIS,16.5,,-3.89924502,49.6337204,,,357
2017-10-18 15:59 (UTC),Terr-AIS,16.4,,-3.9000721,49.6391296,,,352
2017-10-18 16:01 (UTC),Terr-AIS,16.2,,-3.9045651,49.6543694,-3.918889,49.351944,350
2017-10-18 16:03 (UTC),Terr-AIS,16.2,,-3.907727,49.6650391,,,349
2017-10-18 16:07 (UTC),Terr-AIS,16.1,,-3.91226506,49.6800308,,,349
2017-10-18 16:09 (UTC),Terr-AIS,16.1,,-3.91531205,49.6898308,,,350
2017-10-18 16:11 (UTC),Terr-AIS,16.2,,-3.91883206,49.7013702,,,350
2017-10-18 16:15 (UTC),Terr-AIS,16.2,,-3.92349505,49.7164688,,,349
2017-10-18 16:17 (UTC),Terr-AIS,16.2,,-3.92682791,49.7270699,,,349
2017-10-18 16:20 (UTC),Terr-AIS,16.3,,-3.93146706,49.7417183,,,349
2017-10-18 16:23 (UTC),Terr-AIS,16.2,,-3.934443,49.7515297,,,349
2017-10-18 16:25 (UTC),Terr-AIS,16.2,,-3.93708801,49.7604408,,,350
2017-10-18 16:27 (UTC),Terr-AIS,16.1,,-3.940135,49.7706413,,,350
2017-10-18 16:29 (UTC),Terr-AIS,16.1,,-3.94305491,49.7803497,-3.885,49.501111,349
2017-10-18 16:32 (UTC),Terr-AIS,16.1,,-3.94749689,49.79496,,,349
2017-10-18 16:35 (UTC),Terr-AIS,16,,-3.95054197,49.8046112,,,349
2017-10-18 16:37 (UTC),Terr-AIS,16,,-3.95364809,49.8146286,,,349
2017-10-18 16:39 (UTC),Terr-AIS,16,,-3.95657706,49.8243217,,,349
2017-10-18 16:43 (UTC),Terr-AIS,15.9,,-3.96113706,49.8391991,,,350
2017-10-18 16:45 (UTC),Terr-AIS,16,,-3.96409011,49.8488083,,,349
2017-10-18 16:47 (UTC),Terr-AIS,15.9,,-3.96710992,49.8585014,,,349
2017-10-18 16:49 (UTC),Terr-AIS,15.9,,-3.97010207,49.8680916,,,349
2017-10-18 16:53 (UTC),Terr-AIS,15.8,,-3.97470498,49.8828087,,,349
2017-10-18 16:55 (UTC),Terr-AIS,15.8,,-3.97610688,49.8871498,,,349
2017-10-18 16:57 (UTC),Terr-AIS,15.9,,-3.98092294,49.9023705,,,348
2017-10-18 17:00 (UTC),Terr-AIS,15.8,,-3.98558497,49.9171295,-3.900556,49.635833,349
2017-10-18 17:03 (UTC),Terr-AIS,15.8,,-3.98849702,49.9263191,,,349
2017-10-18 17:05 (UTC),Terr-AIS,15.8,,-3.99153709,49.9357796,,,348
2017-10-18 17:07 (UTC),Terr-AIS,15.8,,-3.99460793,49.9454002,,,349
2017-10-18 17:09 (UTC),Terr-AIS,15.8,,-3.99776292,49.9553795,,,349
2017-10-18 17:13 (UTC),Terr-AIS,16.3,,-4.00242519,49.9699097,,,348
2017-10-18 17:15 (UTC),Terr-AIS,16.2,,-4.00617313,49.9796715,,,340
2017-10-18 17:17 (UTC),Terr-AIS,16,,-4.01284218,49.9885712,,,330
2017-10-18 17:19 (UTC),Terr-AIS,16,,-4.02053499,49.9971085,,,330
2017-10-18 17:23 (UTC),Terr-AIS,16,,-4.03247404,50.0102806,,,329
2017-10-18 17:25 (UTC),Terr-AIS,15.9,,-4.039536,50.0180016,,,330
2017-10-18 17:27 (UTC),Terr-AIS,15.9,,-4.04776812,50.0268898,,,329
2017-10-18 17:29 (UTC),Terr-AIS,15.9,,-4.05593491,50.0357285,-3.950556,49.802222,329
2017-10-18 17:33 (UTC),Terr-AIS,15.9,,-4.06796503,50.0487404,,,329
2017-10-18 17:35 (UTC),Terr-AIS,15.9,,-4.07590485,50.0572586,,,328
2017-10-18 17:37 (UTC),Terr-AIS,15.9,,-4.08418798,50.0659904,,,329
2017-10-18 17:40 (UTC),Terr-AIS,16.1,,-4.0935421,50.0796509,,,339
2017-10-18 17:43 (UTC),Terr-AIS,15.8,,-4.09885502,50.0889397,,,343
2017-10-18 17:45 (UTC),Terr-AIS,15.7,,-4.10299492,50.0987701,,,347
