 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-07 20:42 (UTC),Terr-AIS,128,,-23.16587,64.12563,,,253
2018-02-07 20:44 (UTC),Terr-AIS,127,,-23.18488,64.12291,,,253
2018-02-07 20:46 (UTC),Terr-AIS,128,,-23.20288,64.12032,,,250
2018-02-07 20:48 (UTC),Terr-AIS,130,,-23.22243,64.11756,,,252
2018-02-07 20:50 (UTC),Terr-AIS,130,,-23.24186,64.11478,,,252
2018-02-07 20:53 (UTC),Terr-AIS,131,,-23.26041,64.11217,,,252
2018-02-07 20:56 (UTC),Terr-AIS,131,,-23.26423,64.1116,,,251
2018-02-07 20:59 (UTC),Terr-AIS,131,,-23.29858,64.10677,,,251
2018-02-07 21:02 (UTC),Terr-AIS,132,,-23.31968,64.10373,,,252
2018-02-07 21:19 (UTC),Terr-AIS,132,,-23.33946,64.10088,,,251
2018-02-07 21:21 (UTC),Terr-AIS,134,,-23.36746,64.0968,,,250
2018-02-07 21:24 (UTC),Terr-AIS,135,,-23.38783,64.09386,,,251
2018-02-07 21:27 (UTC),Terr-AIS,133,,-23.40939,64.0908,,,252
2018-02-07 21:32 (UTC),Terr-AIS,134,,-23.43061,64.0878,,,252
2018-02-07 21:34 (UTC),Terr-AIS,134,,-23.45371,64.08457,,,252
2018-02-07 21:36 (UTC),Terr-AIS,132,,-23.47647,64.08147,,,254
2018-02-07 21:38 (UTC),Terr-AIS,133,,-23.49676,64.07876,,,250
2018-02-07 21:40 (UTC),Terr-AIS,135,,-23.51593,64.07619,,,253
2018-02-07 21:42 (UTC),Terr-AIS,132,,-23.54037,64.07294,,,254
2018-02-07 21:44 (UTC),Terr-AIS,133,,-23.56352,64.06998,,,255
2018-02-07 21:46 (UTC),Terr-AIS,134,,-23.58392,64.06746,,,254
2018-02-07 21:48 (UTC),Terr-AIS,134,,-23.60809,64.0644,,,257
2018-02-07 21:50 (UTC),Terr-AIS,133,,-23.62736,64.06219,,,256
2018-02-07 21:53 (UTC),Terr-AIS,133,,-23.65289,64.0593,,,254
2018-02-07 21:56 (UTC),Terr-AIS,131,,-23.67448,64.05669,,,253
2018-02-07 21:59 (UTC),Terr-AIS,131,,-23.69724,64.054,,,255
2018-02-07 22:02 (UTC),Terr-AIS,132,,-23.72263,64.05103,,,255
2018-02-07 22:06 (UTC),Terr-AIS,134,,-24.31646,63.97573,,,254
2018-02-07 22:08 (UTC),Terr-AIS,121,,-25.06385,63.87942,,,253
2018-02-07 22:10 (UTC),Terr-AIS,120,,-25.08352,63.87712,,,257
2018-02-07 22:12 (UTC),Terr-AIS,119,,-25.10517,63.87472,,,259
2018-02-07 22:15 (UTC),Terr-AIS,120,,-25.14214,63.87101,,,261
2018-02-07 22:18 (UTC),Terr-AIS,121,,-25.15953,63.8694,,,257
2018-02-07 22:20 (UTC),Terr-AIS,121,,-25.1755,63.86797,,,258
2018-02-07 22:23 (UTC),Terr-AIS,121,,-25.19646,63.86608,,,259
2018-02-07 22:27 (UTC),Terr-AIS,121,,-25.21126,63.86469,,,260
2018-02-07 22:29 (UTC),Terr-AIS,121,,-25.22634,63.86333,,,260
2018-02-07 22:31 (UTC),Terr-AIS,121,,-25.24884,63.86131,,,258
2018-02-07 22:33 (UTC),Terr-AIS,123,,-25.27512,63.85905,,,261
2018-02-07 22:50 (UTC),Terr-AIS,121,,-25.29016,63.85773,,,259
2018-02-08 02:38 (UTC),Terr-AIS,123,,-25.30518,63.85637,,,260
2018-02-08 03:22 (UTC),Terr-AIS,123,,-25.32145,63.85493,,,257
2018-02-08 03:25 (UTC),Terr-AIS,121,,-25.33912,63.85327,,,259
2018-02-08 03:28 (UTC),Terr-AIS,120,,-25.36275,63.85107,,,258
2018-02-08 03:32 (UTC),Terr-AIS,123,,-25.38581,63.84896,,,251
2018-02-08 03:56 (UTC),Terr-AIS,124,,-25.41393,63.84535,,,256
2018-02-08 04:34 (UTC),Terr-AIS,124,,-25.43095,63.84325,,,247
2018-02-08 04:37 (UTC),Terr-AIS,125,,-25.4484,63.84111,,,250
2018-02-08 04:39 (UTC),Terr-AIS,125,,-25.46381,63.83922,,,257
2018-02-08 04:43 (UTC),Terr-AIS,125,,-25.47881,63.83745,,,252
2018-02-08 04:45 (UTC),Terr-AIS,124,,-25.49389,63.83568,,,254
2018-02-08 04:47 (UTC),Terr-AIS,123,,-25.50887,63.83385,,,254
2018-02-08 04:51 (UTC),Terr-AIS,122,,-25.52508,63.83196,,,256
2018-02-08 05:16 (UTC),Terr-AIS,125,,-25.54004,63.8302,,,254
2018-02-08 05:22 (UTC),Terr-AIS,125,,-25.55504,63.82839,,,252
2018-02-08 06:38 (UTC),Terr-AIS,125,,-25.57022,63.82644,,,254
2018-02-08 07:54 (UTC),Terr-AIS,124,,-25.58522,63.82442,,,256
2018-02-08 17:04 (UTC),Terr-AIS,123,,-25.60008,63.82255,,,259
2018-02-08 17:06 (UTC),Terr-AIS,123,,-25.61615,63.82054,,,251
2018-02-08 17:08 (UTC),Terr-AIS,125,,-25.63236,63.81865,,,250
2018-02-08 17:11 (UTC),Terr-AIS,121,,-25.65643,63.81566,,,259
2018-02-08 18:01 (UTC),Terr-AIS,120,,-25.67953,63.81296,,,259
2018-02-08 18:04 (UTC),Terr-AIS,126,,-25.69568,63.81108,,,253
2018-02-08 18:06 (UTC),Terr-AIS,123,,-25.71504,63.80882,,,262
2018-02-08 18:09 (UTC),Terr-AIS,124,,-25.74026,63.80567,,,254
