Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-01-06 12:47 (UTC),Terr-AIS,0,,-3.96237493,48.7205696,,,136
2018-01-06 13:07 (UTC),Terr-AIS,0.1,,-3.96236992,48.7205505,,,226
2018-01-06 13:10 (UTC),Terr-AIS,3.7,,-3.96140289,48.7194405,,,112
2018-01-06 13:12 (UTC),Terr-AIS,5,,-3.95850992,48.7203903,,,42
2018-01-06 13:14 (UTC),Terr-AIS,10.2,,-3.955055,48.7251282,-3.954722,48.718611,18
2018-01-06 13:18 (UTC),Terr-AIS,11.1,,-3.94984007,48.7353401,,,18
2018-01-06 13:20 (UTC),Terr-AIS,13.1,,-3.94809198,48.7430801,,,1
2018-01-06 13:22 (UTC),Terr-AIS,16.9,,-3.94790196,48.7534904,,,359
2018-01-06 13:25 (UTC),Terr-AIS,19.4,,-3.94861007,48.7648506,,,353
2018-01-06 13:27 (UTC),Terr-AIS,20.7,,-3.95077991,48.7776718,,,352
2018-01-06 13:30 (UTC),Terr-AIS,21.3,,-3.95350003,48.7937317,-3.953056,48.769167,354
2018-01-06 13:32 (UTC),Terr-AIS,21.1,,-3.95455194,48.8077698,,,355
2018-01-06 13:34 (UTC),Terr-AIS,20.8,,-3.95554709,48.8205795,,,356
2018-01-06 13:38 (UTC),Terr-AIS,20.9,,-3.95799804,48.8404999,,,352
2018-01-06 13:40 (UTC),Terr-AIS,20.8,,-3.95984006,48.85326,,,352
2018-01-06 13:42 (UTC),Terr-AIS,20.6,,-3.96194005,48.8670502,,,353
2018-01-06 13:45 (UTC),Terr-AIS,20.6,,-3.96488309,48.8858299,,,351
2018-01-06 13:48 (UTC),Terr-AIS,20.6,,-3.96703005,48.8984184,,,352
2018-01-06 13:50 (UTC),Terr-AIS,20.5,,-3.96914792,48.9110985,,,353
2018-01-06 13:52 (UTC),Terr-AIS,20.5,,-3.9712851,48.9236603,,,355
2018-01-06 13:55 (UTC),Terr-AIS,20.5,,-3.97491789,48.9425011,,,351
2018-01-06 13:58 (UTC),Terr-AIS,20.5,,-3.97756004,48.9561501,,,352
2018-01-06 14:00 (UTC),Terr-AIS,20.5,,-3.97969198,48.9686203,,,355
2018-01-06 14:02 (UTC),Terr-AIS,20.4,,-3.98150992,48.9816895,,,354
2018-01-06 14:06 (UTC),Terr-AIS,20.4,,-3.9842329,49.0002289,,,355
2018-01-06 14:08 (UTC),Terr-AIS,20.4,,-3.98617697,49.0133514,,,356
2018-01-06 14:10 (UTC),Terr-AIS,20.6,,-3.98814797,49.0258713,,,352
2018-01-06 14:13 (UTC),Terr-AIS,20.6,,-3.99101806,49.0447311,,,354
2018-01-06 14:16 (UTC),Terr-AIS,20.5,,-3.99308205,49.0577202,,,354
2018-01-06 14:18 (UTC),Terr-AIS,20.5,,-3.99519992,49.070919,,,354
2018-01-06 14:20 (UTC),Terr-AIS,20.4,,-3.99713206,49.0833702,,,354
2018-01-06 14:24 (UTC),Terr-AIS,20.4,,-4.0003829,49.1024895,,,354
2018-01-06 14:26 (UTC),Terr-AIS,19.8,,-4.00244713,49.1149216,,,355
2018-01-06 14:28 (UTC),Terr-AIS,19.1,,-4.00479221,49.1272202,,,354
2018-01-06 14:32 (UTC),Terr-AIS,18.4,,-4.00855207,49.14505,,,351
2018-01-06 14:34 (UTC),Terr-AIS,18.4,,-4.01104498,49.1567993,-4.0025,49.181667,351
2018-01-06 14:36 (UTC),Terr-AIS,18.3,,-4.01341295,49.1684189,,,351
2018-01-06 14:40 (UTC),Terr-AIS,18.2,,-4.01697206,49.1859512,,,354
2018-01-06 14:42 (UTC),Terr-AIS,18.3,,-4.01924181,49.1975517,,,353
2018-01-06 14:44 (UTC),Terr-AIS,18.1,,-4.02152491,49.2086983,,,354
2018-01-06 14:48 (UTC),Terr-AIS,18.2,,-4.02479982,49.2256393,,,351
2018-01-06 14:50 (UTC),Terr-AIS,18,,-4.02700901,49.2372208,,,354
2018-01-06 14:52 (UTC),Terr-AIS,18.1,,-4.02915478,49.2492485,,,354
2018-01-06 14:55 (UTC),Terr-AIS,18.2,,-4.03131485,49.2612,,,352
2018-01-06 14:57 (UTC),Terr-AIS,18.1,,-4.03334284,49.2732391,,,353
2018-01-06 15:00 (UTC),Terr-AIS,18.1,,-4.03635502,49.2903099,,,353
2018-01-06 15:03 (UTC),Terr-AIS,18,,-4.03846312,49.3024101,,,352
2018-01-06 15:05 (UTC),Terr-AIS,18.2,,-4.0404129,49.3144798,,,354
2018-01-06 15:08 (UTC),Terr-AIS,18.2,,-4.04250288,49.3274689,,,353
2018-01-06 15:10 (UTC),Terr-AIS,18.1,,-4.04444218,49.3396416,,,354
2018-01-06 15:13 (UTC),Terr-AIS,18.2,,-4.04622316,49.3513184,,,352
2018-01-06 15:15 (UTC),Terr-AIS,18,,-4.04807901,49.3628197,,,354
2018-01-06 15:17 (UTC),Terr-AIS,18.2,,-4.04982281,49.3738098,,,355
2018-01-06 15:21 (UTC),Terr-AIS,18.1,,-4.05269003,49.3914413,,,353
2018-01-06 15:23 (UTC),Terr-AIS,18.1,,-4.05457783,49.4040489,,,355
2018-01-06 15:27 (UTC),Terr-AIS,18.1,,-4.05753279,49.4222908,,,353
